paper_id,author,year,journal,clean_name,sample country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5,title
160,Lui et al,2011,International Journal of Systematic and Evolutionary Microbiology,Mimosa pudica,China,Non-Native,Non-Native,X,,,,"Phylogenetic relationships and diversity of B-rhizobia associated with Mimosa species grown in Shshuangbanna, China"
189,Ourarhi et al,2011,Archives of Microbiology,Colutea arborescens,Morocco,Native,Non-Native,X,,,,Colutea arborescens is nodulated by diverse rhizobia in Eastern Morocco
203,Perrineau et al,2011,Systematic and Applied Microbiology,Acacia mangium,Brazil,Non-Native,Non-Native,X,,,,Genetic diversity of symbiotic Bradyrhizobium elkanii populations recovered from inoculation and non-inoculated acacia mangium field trials in Brazil
219,Rodriguez-Echeverria et al,2011,Diversity and Distributions,Acacia dealbata,Australia,Native,Non-Native,X,,,,Jack-of-all-trades and master of many? How does associated rhizobial diversity influence the colonization success of Australian Acacia species?
219,Rodriguez-Echeverria et al,2011,Diversity and Distributions,Acacia longifolia,Australia,Native,Non-Native,,,X,,Jack-of-all-trades and master of many? How does associated rhizobial diversity influence the colonization success of Australian Acacia species?
219,Rodriguez-Echeverria et al,2011,Diversity and Distributions,Acacia pycnantha,Australia,Native,Non-Native,X,,,,Jack-of-all-trades and master of many? How does associated rhizobial diversity influence the colonization success of Australian Acacia species?
219,Rodriguez-Echeverria et al,2011,Diversity and Distributions,Acacia saligna,Australia,Native,Non-Native,X,,X,,Jack-of-all-trades and master of many? How does associated rhizobial diversity influence the colonization success of Australian Acacia species?
227,Sanchez-Canizares et al,2011,Systematic and Applied Microbiology,Lupinus mariae-josephae,Spain,Native,Native,X,,,,Endosymbiotic bacteria nodulating a new endemic lupine Lupinus mariae-josephi from alkaline soils in Eastern Spain represent a new lineage within the Bradyrhizobium genus
236,Shiraishi et al,2011,Soil Science and Plant Nutrition,Robinia pseudoacacia,Japan,Non-Native,Non-Native,X,,,,Genetic diversity and spatial distribution of rhizobial bacteria nodulating on black locust (Robinia pseudocacia) rhizospheres
239,Stepkowski et al,2011,Systematic and Applied Microbiology,Lupinus angustifolius,Poland,Non-Native,Non-Native,X,,,,Bradyrhizobium canariense and Bradyrhizobium japonicum are the two dominant rhizobium species in root nodules of lupin and serradella plants growing in Europe
