paper_id,author,year,clean_name,plant_status,sample_country
279,Wei et al,2002,Indigofera potaninii,native,China
279,Wei et al,2002,Kummerowia stipulacea,native,China
298,Yao et al,2002,Kummerowia striata,introduced,United_States
298,Yao et al,2002,Lespedeza bicolor,native,China
298,Yao et al,2002,Lespedeza davurica,native,China
298,Yao et al,2002,Lespedeza inschanica,native,China
298,Yao et al,2002,Lespedeza juncea,native,China
21,Andronov et al,2003,Galega officinalis,native,Russia
21,Andronov et al,2003,Galega orientalis,introduced,Russia
125,Jarabo-Lorenzo et al,2003,Cytisus proliferus,native,Canary_Islands
125,Jarabo-Lorenzo et al,2003,Lupinus angustifolius,native,Spain
125,Jarabo-Lorenzo et al,2003,Lupinus angustifolius,introduced,United_States
125,Jarabo-Lorenzo et al,2003,Lupinus angustifolius,introduced,Canary_Islands
188,Ogasawara et al,2003,Abrus precatorius,native,India
188,Ogasawara et al,2003,Sesbania rostrata,introduced,India
193,Parker,2003,Desmodium axillare,native,Panama
193,Parker,2003,Desmodium axillare,native,Costa_Rica
252,Toledo et al,2003,Acacia cochliacantha,native,Mexico
252,Toledo et al,2003,Acacia farnesiana,native,Mexico
252,Toledo et al,2003,Acacia macilenta,native,Mexico
280,Wang et al,2003,Leucaena leucocephala,native,Mexico
280,Wang et al,2003,Sesbania herbacea,native,Mexico
278,Wei et al,2003,Astragalus adsurgens,native,China
278,Wei et al,2003,Astragalus complanatus,native,China
278,Wei et al,2003,Lespedeza cyrtobotrya,native,China
288,Zahran et al,2003,Acacia nilotica,native,Egypt
288,Zahran et al,2003,Melilotus indicus,native,Egypt
288,Zahran et al,2003,Trifolium resupinatum,native,Egypt
103,Gao et al,2004,Astragalus adsurgens,native,China
127,Kalita and Malek,2004,Genista tinctoria,native,England
127,Kalita and Malek,2004,Genista tinctoria,native,Ukraine
127,Kalita and Malek,2004,Genista tinctoria,native,Poland
185,Mutch and Young,2004,Lathyrus aphaca,introduced,England
185,Mutch and Young,2004,Lathyrus nissolia,introduced,England
185,Mutch and Young,2004,Lathyrus pratensis,native,England
185,Mutch and Young,2004,Vicia cracca,native,England
185,Mutch and Young,2004,Vicia sativa,native,England
194,Parker,2004,Platymiscium pinnatum,native,Costa_Rica
196,Parker et al,2004,Amphicarpaea bracteata,native,United_States
196,Parker et al,2004,Amphicarpaea bracteata,native,Japan
